,scr_37,scr_38,scr_39,scr_40,size_37,size_38,size_39,size_40
0,2.7533135347067987,3.0453988084166226,2.9639676025929895,2.75559108117416,10,10,10,10
1,2.7543088188065266,3.0463872738334246,2.973353262972735,2.837349567454089,10,10,10,20
2,2.755193269487577,3.0472662011438345,2.9820878528375228,2.9180710273925192,10,10,10,30
3,2.755984897180485,3.048052938924554,2.9902028951545567,2.9977292915963702,10,10,10,40
4,2.756697556062584,3.048760801199566,2.9977374905273884,3.076304519218601,10,10,10,50
5,2.7542265249931592,3.046309205238261,3.0348536626727474,2.7630924607319853,10,10,20,10
6,2.7552013049104307,3.0472776996190905,3.0442396261579474,2.844853170555117,10,10,20,20
7,2.75606829932804,3.0481390766251604,3.0529742160227356,2.9255766829949654,10,10,20,30
8,2.756844133258786,3.0489098779226302,3.0610889552343155,3.0052366576166643,10,10,20,40
9,2.757542660880003,3.049604022718389,3.068622944396238,3.0838132535731733,10,10,20,50
10,2.7550483547926556,3.0471294298065703,3.1049722597432536,2.770109963080491,10,10,30,10
11,2.75600540136294,3.0480799704277888,3.1143582232284537,2.8518725543632555,10,10,30,20
12,2.75685632493484,3.048925410950609,3.123092509987787,2.9325976061791676,10,10,30,30
13,2.7576180276047046,3.0496822930411884,3.131206642988458,3.0122589491351457,10,10,30,40
14,2.758304086466322,3.0503637289958734,3.138740329044929,3.0908369134259335,10,10,30,50
15,2.7557923241155318,3.047871787507352,3.174279443513691,2.776667534069557,10,10,40,10
16,2.756733022756561,3.0488061899176846,3.1836648007879833,2.8584316647283847,10,10,40,20
17,2.7575698150675803,3.049637509505978,3.1923984813364106,2.9391580848785757,10,10,40,30
18,2.758318771894296,3.0503816827554853,3.200512311231628,3.018820796168833,10,10,40,40
19,2.758993470330498,3.051052023690185,3.2080450879717364,3.0973997867103296,10,10,40,50
20,2.756468685053014,3.0485469699053196,3.242740053751412,2.782792711426541,10,10,50,10
21,2.757394698266068,3.0494668479258524,3.2521248048147964,2.8645580393778625,10,10,50,20
22,2.758218467650392,3.0502852569454375,3.2608578791523133,2.9452858278623326,10,10,50,30
23,2.7589563411352414,3.051018133447324,3.268970799731171,3.024949223319729,10,10,50,40
24,2.759620510396669,3.051678186272584,3.2765026671549164,3.1035288980283653,10,10,50,50
25,2.7614002180170902,3.1419956834992275,2.9650569635942747,2.7565407051636046,10,20,10,10
26,2.7623822021065765,3.14298414891603,2.9744280749122347,2.838299191443533,10,20,10,20
27,2.7632552923622122,3.1438630762264395,2.9831490250315964,2.919020651381963,10,20,10,30
28,2.764036390880346,3.1446496122795238,2.9912510338141125,2.9986789155858142,10,20,10,40
29,2.764739628921857,3.145357676282171,2.998773201863335,3.0772538011244746,10,20,10,50
30,2.7623010166273954,3.142906080320866,3.035940901935856,2.7640297697129204,10,20,20,10
31,2.76326305070152,3.1438745747016963,3.045312316359269,2.845790479536052,10,20,20,20
32,2.764118407610167,3.1447357499801303,3.0540329633731775,2.9265139919759005,10,20,20,30
33,2.7648842665332314,3.1455067530052356,3.0621349721556936,3.0061736245140303,10,20,20,40
34,2.7655736503974087,3.1462006960733575,3.0696568370994624,3.0847502204705393,10,20,20,50
35,2.763112040168571,3.1437261031615398,3.106057377268185,2.771035641220057,10,20,30,10
36,2.7640563408957077,3.144676643782758,3.115428791691598,2.852798232502822,10,20,30,20
37,2.7648961811257395,3.145522084305578,3.1241494387055067,2.933523284318734,10,20,30,30
38,2.765647908787923,3.146278966396158,3.132250841277115,3.013184627274712,10,20,30,40
39,2.7663248238924987,3.1469604023508433,3.1397721000099748,3.09176224948193,10,20,30,50
40,2.7638460344837656,3.1444684608623215,3.175362742405899,2.7775822655348925,10,20,40,10
41,2.7647742643651942,3.145402863272653,3.1847338537238588,2.8593462251519357,10,20,40,20
42,2.765599973334345,3.1462339811333115,3.1934535914214055,2.9400728163439114,10,20,40,30
43,2.7663395093204732,3.146978356110454,3.201554387782106,3.019735185550599,10,20,40,40
44,2.767005063999635,3.1476484953175183,3.2090753434095127,3.0983141760920963,10,20,40,50
45,2.764513528747754,3.1451434415326522,3.243821534010896,2.7836970093430016,10,20,50,10
46,2.765427350284754,3.146063319553186,3.2531920391179474,2.8654623372943235,10,20,50,20
47,2.7662403134107576,3.146881728572771,3.2619111706045865,2.9461899547370085,10,20,50,30
48,2.7669682118879244,3.147614403347021,3.2700113607543795,3.0258533501944047,10,20,50,40
49,2.767624068642951,3.148274456172281,3.27753110395997,3.104433024903041,10,20,50,50
50,2.768883136279133,3.237350521526476,2.966019929621288,2.7573806913689647,10,30,10,10
51,2.769852651609018,3.2383391886709143,2.975378310510184,2.839139006607108,10,30,10,20
52,2.7707146585227864,3.239218115981324,2.9840868333059367,2.919860466545538,10,30,10,30
53,2.771486336200331,3.240004652034408,2.9921776271866585,2.9995183886658197,10,30,10,40
54,2.7721807075683493,3.2407127160370552,2.999689186544995,3.0780936162880503,10,30,10,50
55,2.7697722973804777,3.238260918348115,3.0369020493301453,2.7648588092440507,10,30,20,10
56,2.770722416862093,3.2392294127289443,3.0462604302190415,2.846619348025398,10,30,20,20
57,2.7715672445959667,3.2400905880073783,3.0549692561202484,2.927342860465245,10,30,20,30
58,2.7723234055948964,3.240861591032484,3.063059443790063,3.0070024930033754,10,30,20,40
59,2.7730039227855796,3.241555534100606,3.070570700042945,3.085579088959885,10,30,20,50
60,2.770573345913972,3.239080941188788,3.1070170091352045,2.771854418244097,10,30,30,10
61,2.7715057320486,3.2400314818100058,3.1163753900241002,2.853616838485077,10,30,30,20
62,2.772335043103858,3.240876922332826,3.1250836097144,2.9343418903009884,10,30,30,30
63,2.7730773499254537,3.2416336026957704,3.1331737973842135,3.0140028911733974,10,30,30,40
64,2.773745675440082,3.2423152403780913,3.1406844474261884,3.092580855464185,10,30,30,50
65,2.7712979193885796,3.2398230971619335,3.1763205556401966,2.778391293177196,10,30,40,10
66,2.772214511761046,3.2407574995722657,3.1856786334236378,2.8601552527942395,10,30,40,20
67,2.7730299686389692,3.2415888191605595,3.1943862469030297,2.9408815019026457,10,30,40,30
68,2.77376008378451,3.242332992410067,3.202475828361936,3.020543871109333,10,30,40,40
69,2.7744176030408174,3.2430031316171304,3.209985872193002,3.0991228616508297,10,30,40,50
70,2.7719568240626202,3.240498077832264,3.244777831717923,2.7844968007289235,10,30,50,10
71,2.772859285174205,3.241417955852798,3.254135303290457,2.866262128680246,10,30,50,20
72,2.77366199620898,3.2422363648723826,3.262842613664395,2.9469894040393605,10,30,50,30
73,2.774381028012654,3.242969039646632,3.2709309827014854,3.026652799496757,10,30,50,40
74,2.7750285722612795,3.2436290924718927,3.2784404203216444,3.105232474205393,10,30,50,50
75,2.775796647852718,3.3314356858122243,2.966877414950346,2.7581288281358645,10,40,10,10
76,2.776754802757189,3.3324241512290262,2.976224277831995,2.8398871433740083,10,40,10,20
77,2.7776068346632754,3.3333030785394353,2.984922191936861,2.920608261228869,10,40,10,30
78,2.7783690915002333,3.334089614592519,2.993002680232151,3.0002665254327203,10,40,10,40
79,2.77905515036185,3.3347976785951667,3.000504540215963,3.0788414109713806,10,40,10,50
80,2.7766755568628345,3.3323458809062263,3.0377577160264813,2.7655971966292143,10,40,20,10
81,2.7776140388354893,3.333314375287056,3.0471048820135826,2.847357735410561,10,40,20,20
82,2.778448891561682,3.3341755505654906,3.0558024930129957,2.928081076808625,10,40,20,30
83,2.7791959088035707,3.3349463518629605,3.0638829813082853,3.0077407093467543,10,40,20,40
84,2.779868667654946,3.3356402949310815,3.0713845381866434,3.0863173053032638,10,40,20,50
85,2.777466630388648,3.3331657020192633,3.1078711603042706,2.772583569372879,10,40,30,10
86,2.778387933181408,3.3341162426404813,3.117218023185919,2.854345989613859,10,40,30,20
87,2.779207546312532,3.3349616831633018,3.1259156341853305,2.935070870387986,10,40,30,30
88,2.7799409864606335,3.335718565253882,3.133995516269713,3.0147318712603943,10,40,30,40
89,2.780601553635954,3.3364000012085664,3.1414964669371632,3.093309835551182,10,40,30,50
90,2.778182614273308,3.33390785799241,3.1771731912819927,2.7791117211749516,10,40,40,10
91,2.779088400387453,3.3348422604027412,3.1865197510581864,2.8608756807919953,10,40,40,20
92,2.779894159341242,3.3356733782634,3.195216755846692,2.941601929900401,10,40,40,30
93,2.780615684896836,3.336417753240542,3.2032960317201664,3.021264299107088,10,40,40,40
94,2.7812651687302887,3.337087892447606,3.210796679282162,3.0998429475650155,10,40,40,50
95,2.7788337606080398,3.33458283866274,3.2456292549379038,2.785209360804576,10,40,50,10
96,2.7797254154613045,3.335502514955638,3.25497520850319,2.8669745177141137,10,40,50,20
97,2.7805187056554925,3.3363209239752227,3.2636716070807874,2.947701964115013,10,40,50,30
98,2.781229147869218,3.3370538004771086,3.2717499736379008,3.0273650174888402,10,40,50,40
99,2.781868933778537,3.337713651574733,3.2792497118835344,3.1059446921974763,10,40,50,50
100,2.782181761102755,3.424229793227048,2.9676457872759614,2.7587994829742306,10,50,10,10
101,2.7831293868324525,3.4252182586438487,2.976982344572176,2.8405576271705897,10,50,10,20
102,2.7839714437308576,3.4260969842266227,2.9856705593025183,2.9212787450254503,10,50,10,30
103,2.7847251109778677,3.4268837220073425,2.993741651328738,3.000936667145732,10,50,10,40
104,2.785403688583724,3.427591382554718,3.0012353274652943,3.0795115526843926,10,50,10,50
105,2.783050695105191,3.425139988321049,3.0385245728248265,2.7662591283365536,10,50,20,10
106,2.7839789249866183,3.4261082809742427,3.0478614332264953,2.848019496076116,10,50,20,20
107,2.784804356872223,3.4269696579803135,3.0565493448513843,2.9287426664323943,10,50,20,30
108,2.785543061607711,3.427740257550147,3.064620436877603,3.0084022989705237,10,50,20,40
109,2.7862080621197793,3.428434200618269,3.072113809908706,3.0869788949270336,10,50,20,50
110,2.7838329019575103,3.4259594059788148,3.108636501575346,2.773237120032761,10,50,30,10
111,2.7847439526590434,3.426909946600033,3.117973361977016,2.8549995402737407,10,50,30,20
112,2.7855541449495793,3.427755588850489,3.1266609704964505,2.9357242500060834,10,50,30,30
113,2.7862795496748265,3.428512470941069,3.134731759417216,3.015385592962062,10,50,30,40
114,2.7869326355943866,3.4291939068957538,3.1422245262374098,3.0939632151692797,10,50,30,50
115,2.7845408504193156,3.4267017636795964,3.1779373201312526,2.779757574954515,10,50,40,10
116,2.78543666152578,3.4276361660899277,3.187273574322015,2.8615215345715592,10,50,40,20
117,2.7862332767225286,3.4284672839505865,3.1959608797359946,2.942247783679965,10,50,40,30
118,2.7869464897717213,3.4292112554724565,3.204031062445853,3.021909810803083,10,50,40,40
