iterations,Size_37(MVA),Size_38(MVA),Size_39(MVA),Size_40(MVA),SCR_30,SCR_36,SCR_32,SCR_34,Total Size(MVA),NPV(in millions)
23,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
24,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
25,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
26,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
27,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
28,89.0,6.0,20.0,67.0,3.034228315601864,3.010327450245583,3.0066739486244676,3.0046653780552917,182.0,288.680728
29,82.0,5.0,22.0,71.0,3.007203803125616,3.0025865556662064,3.016680368973783,3.0243539979084777,180.0,290.4545
30,82.0,5.0,22.0,71.0,3.007203803125616,3.0025865556662064,3.016680368973783,3.0243539979084777,180.0,290.4545
31,82.0,5.0,22.0,71.0,3.007203803125616,3.0025865556662064,3.016680368973783,3.0243539979084777,180.0,290.4545
32,82.0,5.0,22.0,71.0,3.007203803125616,3.0025865556662064,3.016680368973783,3.0243539979084777,180.0,290.4545
33,82.0,5.0,22.0,71.0,3.007203803125616,3.0025865556662064,3.016680368973783,3.0243539979084777,180.0,290.4545
34,82.0,5.0,22.0,71.0,3.007203803125616,3.0025865556662064,3.016680368973783,3.0243539979084777,180.0,290.4545
35,82.0,5.0,22.0,71.0,3.007203803125616,3.0025865556662064,3.016680368973783,3.0243539979084777,180.0,290.4545
36,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
37,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
38,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
39,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
40,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
