iterations,Size_37,Size_38,Size_39,Size_40
317,83,8,22,66
318,83,8,22,66
319,83,8,22,66
320,83,8,22,66
321,83,8,22,66
322,83,8,22,66
323,83,8,22,66
324,83,8,22,66
325,83,8,22,66
326,83,8,22,66
327,83,8,22,66
328,83,8,22,66
329,83,8,22,66
330,83,8,22,66
331,83,8,22,66
332,83,8,22,66
333,83,8,22,66
334,83,8,22,66
335,83,8,22,66
336,83,8,22,66
337,83,8,22,66
338,83,8,22,66
339,83,8,22,66
340,83,8,22,66
341,83,8,22,66
342,83,8,22,66
343,83,8,22,66
344,83,8,22,66
345,83,8,22,66
346,83,8,22,66
347,83,8,22,66
348,83,8,22,66
349,83,8,22,66
350,83,8,22,66
351,81,5,26,66
352,81,5,26,66
353,81,5,26,66
354,81,5,26,66
355,81,5,26,66
356,81,5,26,66
357,81,5,26,66
358,81,5,26,66
359,81,5,26,66
360,81,5,26,66
361,81,5,26,66
362,81,5,26,66
363,81,5,26,66
364,81,5,26,66
365,81,5,26,66
366,81,5,26,66
367,81,5,26,66
368,81,5,26,66
369,80,9,19,67
370,80,9,19,67
371,80,9,19,67
372,80,9,19,67
373,80,9,19,67
374,80,9,19,67
375,80,9,19,67
376,80,9,19,67
377,80,9,19,67
378,80,9,19,67
379,80,9,19,67
380,80,9,19,67
381,80,9,19,67
382,80,9,19,67
383,80,9,19,67
384,80,9,19,67
385,80,9,19,67
386,80,9,19,67
387,80,9,19,67
388,80,9,19,67
389,80,9,19,67
390,80,9,19,67
391,80,9,19,67
392,80,9,19,67
393,80,9,19,67
394,80,9,19,67
395,80,9,19,67
396,80,9,19,67
397,80,9,19,67
398,80,9,19,67
399,80,9,19,67
400,80,9,19,67
401,80,9,19,67
402,80,9,19,67
403,80,9,19,67
404,80,9,19,67
405,80,9,19,67
406,80,9,19,67
407,80,9,19,67
408,80,9,19,67
409,80,9,19,67
410,80,9,19,67
411,80,9,19,67
412,80,9,19,67
413,80,9,19,67
414,80,9,19,67
415,80,9,19,67
416,80,9,19,67
417,80,9,19,67
418,80,9,19,67
419,80,9,19,67
420,80,9,19,67
421,80,9,19,67
422,80,9,19,67
423,80,9,19,67
424,80,9,19,67
425,80,9,19,67
426,80,9,19,67
427,80,9,19,67
428,80,9,19,67
429,80,9,19,67
430,81,7,19,67
431,81,7,19,67
432,81,7,19,67
433,81,7,19,67
434,81,7,19,67
435,81,7,19,67
436,81,7,19,67
437,81,7,19,67
438,81,7,19,67
439,81,7,19,67
440,81,7,19,67
441,81,7,19,67
442,81,7,19,67
443,81,7,19,67
444,81,7,19,67
445,81,7,19,67
446,81,7,19,67
447,81,7,19,67
448,81,7,19,67
449,81,7,19,67
450,81,7,19,67
451,81,7,19,67
452,81,7,19,67
453,81,7,19,67
454,81,7,19,67
455,81,7,19,67
456,81,7,19,67
457,81,7,19,67
458,81,7,19,67
459,81,7,19,67
460,81,7,19,67
461,81,7,19,67
462,81,7,19,67
463,81,7,19,67
464,81,7,19,67
465,81,7,19,67
466,81,7,19,67
467,81,7,19,67
468,81,7,19,67
469,81,7,19,67
470,81,7,19,67
471,81,7,19,67
472,81,7,19,67
473,81,7,19,67
474,81,7,19,67
475,81,7,19,67
476,81,7,19,67
477,81,7,19,67
478,81,7,19,67
479,81,7,19,67
480,81,7,19,67
481,81,7,19,67
482,81,7,19,67
483,81,7,19,67
484,81,7,19,67
485,81,7,19,67
486,81,7,19,67
487,81,7,19,67
488,81,7,19,67
489,81,7,19,67
490,81,7,19,67
491,81,7,19,67
492,81,7,19,67
493,81,7,19,67
494,81,7,19,67
495,81,7,19,67
496,81,7,19,67
497,81,7,19,67
498,81,7,19,67
